filename,fqn,namespace,name,current_support_level,new_support_level,scenario_file,scenario_plugin_type,matched_line
lib/ansible/module_utils/digital_ocean.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/dimensiondata.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/distro/_distro.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,distro/*
lib/ansible/module_utils/docker/common.py,f5networks.f5_modules,f5networks,f5_modules,community,community,scenarios/nwo/f5networks.yml,module_utils,docker/common.py
lib/ansible/module_utils/docker/swarm.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ec2.py,community.general,community,general,core,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ecs/api.py,base,ansible,base,community,core,scenarios/nwo/ansible.yml,module_utils,ecs/api.py
lib/ansible/module_utils/exoscale.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/f5_utils.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/facts/ansible_collector.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/ansible_collector.py
lib/ansible/module_utils/facts/collector.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/collector.py
lib/ansible/module_utils/facts/compat.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/compat.py
lib/ansible/module_utils/facts/default_collectors.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/default_collectors.py
lib/ansible/module_utils/facts/hardware/aix.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/aix.py
lib/ansible/module_utils/facts/hardware/base.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/base.py
lib/ansible/module_utils/facts/hardware/darwin.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/darwin.py
lib/ansible/module_utils/facts/hardware/dragonfly.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/dragonfly.py
lib/ansible/module_utils/facts/hardware/freebsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/freebsd.py
lib/ansible/module_utils/facts/hardware/hpux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/hpux.py
lib/ansible/module_utils/facts/hardware/hurd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/hurd.py
lib/ansible/module_utils/facts/hardware/linux.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/linux.py
lib/ansible/module_utils/facts/hardware/netbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/netbsd.py
lib/ansible/module_utils/facts/hardware/openbsd.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/openbsd.py
lib/ansible/module_utils/facts/hardware/sunos.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/hardware/sunos.py
lib/ansible/module_utils/facts/namespace.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/namespace.py
lib/ansible/module_utils/facts/network/aix.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/aix.py
lib/ansible/module_utils/facts/network/base.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/base.py
lib/ansible/module_utils/facts/network/darwin.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/darwin.py
lib/ansible/module_utils/facts/network/dragonfly.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,facts/network/dragonfly.py
